"Description","Start Time","End Time","Timestep","Iterations","Courant Number","Gravitational Constant","Number of Particles","mass_1","qx_1","qy_1","qz_1","px_1","py_1","pz_1","mass_2","qx_2","qy_2","qz_2","px_2","py_2","pz_2"
"CMScatter_b_73",0,1.9348302053270418643951416015625e9,193483.02053270419128239154815673828125,0,0.001,1,2,0,-9.6741510266352093219757080078125e8,-9674.151026635208836523815989494323730469,0,0.5,0,0,0,9.6741510266352093219757080078125e8,9674.151026635208836523815989494323730469,0,-0.5,0,0
"CMScatter_b_74",0,2.14926851250632476806640625e9,214926.8512506324914284050464630126953125,0,0.001,1,2,0,-1.074634256253162384033203125e9,-10746.34256253162493521813303232192993164,0,0.5,0,0,0,1.074634256253162384033203125e9,10746.34256253162493521813303232192993164,0,-0.5,0,0
"CMScatter_b_75",0,2.38747313647108745574951171875e9,238747.3136471087636891752481460571289063,0,0.001,1,2,0,-1.193736568235543727874755859375e9,-11937.36568235543745686300098896026611328,0,0.5,0,0,0,1.193736568235543727874755859375e9,11937.36568235543745686300098896026611328,0,-0.5,0,0
"CMScatter_b_76",0,2.652078111321754932403564453125e9,265207.811132175498642027378082275390625,0,0.001,1,2,0,-1.3260390556608774662017822265625e9,-13260.39055660877420450560748577117919922,0,0.5,0,0,0,1.3260390556608774662017822265625e9,13260.39055660877420450560748577117919922,0,-0.5,0,0
"CMScatter_b_77",0,2.946009402622295379638671875e9,294600.940262229531072080135345458984375,0,0.001,1,2,0,-1.4730047013111476898193359375e9,-14730.04701311147800879552960395812988281,0,0.5,0,0,0,1.4730047013111476898193359375e9,14730.04701311147800879552960395812988281,0,-0.5,0,0
"CMScatter_b_78",0,3.27251726232660198211669921875e9,327251.72623266023583710193634033203125,0,0.001,1,2,0,-1.636258631163300991058349609375e9,-16362.58631163301106425933539867401123047,0,0.5,0,0,0,1.636258631163300991058349609375e9,16362.58631163301106425933539867401123047,0,-0.5,0,0
"CMScatter_b_79",0,3.635212169619349002838134765625e9,363521.21696193492971360683441162109375,0,0.001,1,2,0,-1.8176060848096745014190673828125e9,-18176.06084809674575808458030223846435547,0,0.5,0,0,0,1.8176060848096745014190673828125e9,18176.06084809674575808458030223846435547,0,-0.5,0,0
"CMScatter_b_80",0,4.038104755100223541259765625e9,403810.47551002237014472484588623046875,0,0.001,1,2,0,-2.0190523775501117706298828125e9,-20190.5237755011185072362422943115234375,0,0.5,0,0,0,2.0190523775501117706298828125e9,20190.5237755011185072362422943115234375,0,-0.5,0,0
"CMScatter_b_81",0,4.4856501497876739501953125e9,448565.0149787674308754503726959228515625,0,0.001,1,2,0,-2.24282507489383697509765625e9,-22428.25074893836790579371154308319091797,0,0.5,0,0,0,2.24282507489383697509765625e9,22428.25074893836790579371154308319091797,0,-0.5,0,0
"CMScatter_b_82",0,4.98279724934743976593017578125e9,498279.7249347440083511173725128173828125,0,0.001,1,2,0,-2.491398624673719882965087890625e9,-24913.98624673720041755586862564086914063,0,0.5,0,0,0,2.491398624673719882965087890625e9,24913.98624673720041755586862564086914063,0,-0.5,0,0
"CMScatter_b_83",0,5.53504343830284023284912109375e9,553504.343830284080468118190765380859375,0,0.001,1,2,0,-2.767521719151420116424560546875e9,-27675.21719151420256821438670158386230469,0,0.5,0,0,0,2.767521719151420116424560546875e9,27675.21719151420256821438670158386230469,0,-0.5,0,0
"CMScatter_b_84",0,6.14849537935977458953857421875e9,614849.537935977452434599399566650390625,0,0.001,1,2,0,-3.074247689679887294769287109375e9,-30742.47689679887480451725423336029052734,0,0.5,0,0,0,3.074247689679887294769287109375e9,30742.47689679887480451725423336029052734,0,-0.5,0,0
"CMScatter_b_85",0,6.829936540046375274658203125e9,682993.6540046376176178455352783203125,0,0.001,1,2,0,-3.4149682700231876373291015625e9,-34149.68270023187506012618541717529296875,0,0.5,0,0,0,3.4149682700231876373291015625e9,34149.68270023187506012618541717529296875,0,-0.5,0,0
"CMScatter_b_86",0,7.58690220336767673492431640625e9,758690.220336767728440463542938232421875,0,0.001,1,2,0,-3.793451101683838367462158203125e9,-37934.51101683838351164013147354125976563,0,0.5,0,0,0,3.793451101683838367462158203125e9,37934.51101683838351164013147354125976563,0,-0.5,0,0
"CMScatter_b_87",0,8.42776279193283367156982421875e9,842776.279193283407948911190032958984375,0,0.001,1,2,0,-4.213881395966416835784912109375e9,-42138.81395966417039744555950164794921875,0,0.5,0,0,0,4.213881395966416835784912109375e9,42138.81395966417039744555950164794921875,0,-0.5,0,0
"CMScatter_b_88",0,9.3618164269416751861572265625e9,936181.64269416755996644496917724609375,0,0.001,1,2,0,-4.68090821347083759307861328125e9,-46809.08213470837654313072562217712402344,0,0.5,0,0,0,4.68090821347083759307861328125e9,46809.08213470837654313072562217712402344,0,-0.5,0,0
"CMScatter_b_89",0,1.03993917455352039337158203125e10,1.039939174553520395420491695404052734375e6,0,0.001,1,2,0,-5.19969587276760196685791015625e9,-51996.95872767602122621610760688781738281,0,0.5,0,0,0,5.19969587276760196685791015625e9,51996.95872767602122621610760688781738281,0,-0.5,0,0
"CMScatter_b_90",0,1.155196211345017242431640625e10,1.15519621134501718915998935699462890625e6,0,0.001,1,2,0,-5.775981056725086212158203125e9,-57759.81056725086091319099068641662597656,0,0.5,0,0,0,5.775981056725086212158203125e9,57759.81056725086091319099068641662597656,0,-0.5,0,0
"CMScatter_b_91",0,1.28322724959256992340087890625e10,1.28322724959256988950073719024658203125e6,0,0.001,1,2,0,-6.41613624796284961700439453125e9,-64161.36247962850029580295085906982421875,0,0.5,0,0,0,6.41613624796284961700439453125e9,64161.36247962850029580295085906982421875,0,-0.5,0,0
"CMScatter_b_92",0,1.4254480389782958984375e10,1.4254480389782958664000034332275390625e6,0,0.001,1,2,0,-7.1272401948914794921875e9,-71272.40194891479040961712598800659179687,0,0.5,0,0,0,7.1272401948914794921875e9,71272.40194891479040961712598800659179687,0,-0.5,0,0
